"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","24.33","Produkcja wyrobów formowanych na zimno","Klasa ta obejmuje:
-    produkcję otwartych kształtowników stalowych poprzez kształtowanie stopniowe w walcowniach lub przy pomocy prasy wyrobów walcowanych płaskich stalowych,
-    produkcję formowanych i składanych na zimno arkuszy profilowanych (żeberkowanych) i płyt wielowarstwowych.","","","","2410","This class includes:
- manufacture of open sections by progressive cold forming on a roll mill or folding on a press of flat-rolled products of steel
- manufacture of cold-formed or cold-folded, ribbed sheets and sandwich panels","",""
"4","24.34","Produkcja drutu","Klasa ta obejmuje:
-    produkcję drutów ze stali poprzez ciągnienie na zimno stalowych prętów.","","Klasa ta nie obejmuje:
-    produkcji sztab i pełnych kształtowników ze stali, poprzez ciągnienie, sklasyfikowanej w 24.31,
-    produkcji wyrobów wykonanych z drutu, sklasyfikowanej w 25.93.","","2410","This class includes:
- manufacture of drawn steel wire, by cold drawing of steel wire rod","","This class excludes:
- drawing of bars and solid sections of steel, see 24.31
- manufacture of derived wire products, see 25.93"
"3","24.4","Produkcja metali szlachetnych i pozostałych metali nieżelaznych","","","","","242","","",""
"4","24.41","Produkcja metali szlachetnych","Klasa ta obejmuje:
-    produkcję podstawowych metali szlachetnych, takich jak: złoto, srebro, platyna itp. poprzez oczyszczanie rudy i złomu metali szlachetnych, nawet obrobionych plastycznie,
-    produkcję stopów metali szlachetnych,
-    produkcję półproduktów z metali szlachetnych,
-    produkcję metali nieszlachetnych platerowanych srebrem,
-    produkcję metali nieszlachetnych lub srebra, platerowanych złotem,
-    produkcję złota, srebra lub metali nieszlachetnych, platerowanych platyną lub metalami z grupy platynowców.","Klasa ta obejmuje także:
-    produkcję drutów z ww. metali, poprzez ciągnienie,
-    produkcję laminatów z folii z metali szlachetnych.","Klasa ta nie obejmuje:
-    odlewnictwa metali nieżelaznych, sklasyfikowanego w 24.53, 24.54,
-    produkcji biżuterii z metali szlachetnych, sklasyfikowanej w 32.12.","","2420","This class includes:
- production of basic precious metals:
  • production and refining of unwrought or wrought precious metals: gold, silver, platinum etc. from ore and scrap
- production of precious metal alloys
- production of precious metal semi-products
- production of silver rolled onto base metals
- production of gold rolled onto base metals or silver
- production of platinum and platinum group metals rolled onto gold, silver or base metals","This class also includes:
- manufacture of wire of these metals by drawing
- manufacture of precious metal foil laminates","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54
- manufacture of precious metal jewellery, see 32.12"
"4","24.42","Produkcja aluminium","Klasa ta obejmuje:
-    produkcję aluminium z tlenku glinu,
-    produkcję aluminium z rafinacji elektrolitycznej odpadów lub złomu aluminium,
-    produkcję stopów aluminium,
-    produkcję półproduktów aluminiowych.","Klasa ta obejmuje także:
-    produkcję drutów z aluminium, poprzez ciągnienie,
-    produkcję tlenku glinu,
-    produkcję folii aluminiowej służącej do pakowania,
-    produkcję laminatów z folii aluminiowej, która stanowi podstawowy składnik wyrobu.","Klasa ta nie obejmuje:
-    odlewnictwa metali nieżelaznych, sklasyfikowanego w 24.53, 24.54.","","2420","This class includes:
- production of aluminium from alumina
- production of aluminium from electrolytic refining of aluminium waste and scrap
- production of aluminium alloys
- semi-manufacture of aluminium","This class also includes:
- manufacture of wire of these metals by drawing
- production of aluminium oxide (alumina)
- production of aluminium wrapping foil
- manufacture of aluminium foil laminates made from aluminium foil as primary component","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.43","Produkcja ołowiu, cynku i cyny","Klasa ta obejmuje:
-    produkcję ołowiu, cynku, cyny z rud,
-    produkcję ołowiu, cynku, cyny w procesie rafinacji elektrolitycznej odpadów lub złomu ołowiu, cynku i cyny,
-    produkcję stopów ołowiu, cynku i cyny,
-    produkcję półproduktów z ołowiu, cynku i cyny.","Klasa ta obejmuje także:
-    produkcję drutów z ww. metali, poprzez ciągnienie,
-    produkcję folii cynkowej.","Klasa ta nie obejmuje:
-    odlewnictwa metali nieżelaznych, sklasyfikowanego w 24.53, 24.54.","","2420","This class includes:
- production of lead, zinc and tin from ores
- production of lead, zinc and tin from electrolytic refining of lead, zinc and tin waste and scrap
- production of lead, zinc and tin alloys
- semi-manufacture of lead, zinc and tin","This class also includes:
- manufacture of wire of these metals by drawing
- production of tin foil","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.44","Produkcja miedzi","Klasa ta obejmuje:
-    produkcję miedzi z rud,
-    produkcję miedzi w procesie rafinacji elektrolitycznej odpadów lub złomu miedzi,
-    produkcję stopów miedzi,
-    produkcję drutu i taśmy miedzianej do bezpieczników,
-    produkcję półproduktów z miedzi,
-    produkcje kamienia miedziowego.","Klasa ta obejmuje także:
-    produkcję drutów z miedzi, poprzez ciągnienie.","Klasa ta nie obejmuje:
-    odlewnictwa metali nieżelaznych, sklasyfikowanego w 24.53, 24.54.","","2420","This class includes:
- production of copper from ores
- production of copper from electrolytic refining of copper waste and scrap
- production of copper alloys
- manufacture of fuse wire or strip
- semi-manufacture of copper","This class also includes:
- manufacture of wire of these metals by drawing","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.45","Produkcja pozostałych metali nieżelaznych","Klasa ta obejmuje:
-    produkcję chromu, manganu, niklu itp. z rud lub z tlenków,
-    produkcję chromu, manganu, niklu itp. w procesie rafinacji elektrolitycznej lub aluminotermicznej odpadów lub złomu chromu, manganu, niklu itp.,
-    produkcję stopów chromu, manganu, niklu itp.,
-    produkcję półproduktów z chromu, manganu, niklu itp.,
-    produkcję kamienia niklowego.","Klasa ta obejmuje także:
-    produkcję drutów z ww. metali, poprzez ciągnienie.","Klasa ta nie obejmuje:
-    odlewnictwa metali nieżelaznych, sklasyfikowanego w 24.53, 24.54.","","2420","This class includes:
- production of chrome, manganese, nickel etc. from ores or oxides
- production of chrome, manganese, nickel etc. from electrolytic and aluminothermic refining of chrome, manganese, nickel etc., waste and scrap
- production of alloys of chrome, manganese, nickel etc.
- semi-manufacture of chrome, manganese, nickel etc.
- production of mattes of nickel","This class also includes:
- manufacture of wire of these metals by drawing","This class excludes:
- casting of non-ferrous metals, see 24.53, 24.54"
"4","24.46","Wytwarzanie paliw jądrowych","Klasa ta obejmuje:
-    produkcję uranu z blendy smolistej i pozostałych rud,
-    wytapianie i rafinację uranu.","","","","2420","This class includes:
- production of uranium metal from pitchblende or other ores
- smelting and refining of uranium","",""
"3","24.5","Odlewnictwo metali","Grupa ta obejmuje wytwarzanie półwyrobów i różnorodnych odlewów w procesie odlewniczym.","","Grupa ta nie obejmuje odlewnictwa wyrobów finalnych, takich jak:
-    kotły i grzejniki, sklasyfikowanego w 25.21,
-    artykuły gospodarstwa domowego, sklasyfikowanego w 25.99.","","243","This group includes the manufacture of semi-finished products and various castings by a casting process.","","This group excludes:
- manufacture of finished cast products such as:
  • boilers and radiators, see 25.21
  • cast household items, see 25.99"
"4","24.51","Odlewnictwo żeliwa","Klasa ta obejmuje:
-    odlewnictwo półwyrobów z żeliwa,
-    odlewnictwo odlewów z żeliwa szarego,
-    odlewnictwo odlewów z żeliwa sferoidalnego,
-    odlewnictwo wyrobów z żeliwa ciągliwego,
-    produkcję rur i złączek odlewanych z żeliwa.","","","","2431","This class includes activities of iron foundries.

This class includes:
- casting of semi-finished iron products
- casting of grey iron castings
- casting of spheroidal graphite iron castings
- casting of malleable cast-iron products
- manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron","",""
"4","24.52","Odlewnictwo staliwa","Klasa ta obejmuje:
-    odlewnictwo półwyrobów ze staliwa,
-    odlewnictwo części ze staliwa,
-    produkcję rur i złączek ze staliwa,
-    produkcję rur bez szwu w procesie odlewania odśrodkowego.","","","","2431","This class includes activities of steel foundries.

This class includes:
- casting of semi-finished steel products
- casting of steel castings
- manufacture of seamless tubes and pipes of steel by centrifugal casting
- manufacture of tube or pipe fittings of cast-steel","",""
"4","24.53","Odlewnictwo metali lekkich","Klasa ta obejmuje:
-    odlewnictwo półwyrobów z aluminium, magnezu, tytanu itp.,
-    odlewnictwo części z metali lekkich.","","","","2432","This class includes:
- casting of semi-finished products of aluminium, magnesium, titanium, zinc etc.
- casting of light metal castings","",""
"4","24.54","Odlewnictwo pozostałych metali nieżelaznych","Klasa ta obejmuje:
-    odlewnictwo części z metali ciężkich,
-    odlewnictwo części z metali szlachetnych,
-    odlewnictwo ciśnieniowe/kokilowe części z metali nieżelaznych.","","","","2432","This class includes:
- casting of heavy metal castings
- casting of precious metal castings
- die-casting of non-ferrous metal castings","",""
"2","25","Produkcja metalowych wyrobów gotowych, z wyłączeniem maszyn i urządzeń","Dział ten obejmuje:
-    produkcję wyrobów wykonanych w całości z metalu (tj. części, pojemników, konstrukcji) mających zazwyczaj charakter statyczny i nieprzemieszczalny w przeciwieństwie do wyrobów z działów 26-   30 obejmujących produkcję wyrobów metalowych połączonych lub montowanych (czasami z innymi materiałami), w wyrób bardziej złożony, elektryczny, elektroniczny, optyczny lub zawierający części ruchome.","Dział ten obejmuje także produkcję broni i amunicji.","Dział nie obejmuje:
-    naprawy i konserwacji specjalistycznej, sklasyfikowanych w odpowiednich klasach grupy 33.1,
-    specjalistycznego instalowania objętych niniejszym działem wyrobów gotowych w budynkach (np. kotłów centralnego ogrzewania), sklasyfikowanego w 43.22.","","25","This division includes the manufacture of ""pure"" metal products (such as parts, containers and structures), usually with a static, immovable function, as opposed to the following divisions 26-30, which cover the manufacture of combinations or assemblies of such metal products (sometimes with other materials) into more complex units that, unless they are purely electrical, electronic or optical, work with moving parts.","The manufacture of weapons and ammunition is also included in this division.","This division excludes:
- specialised repair and maintenance activities, see 33.1
- specialised installation of manufactured goods produced in this division in buildings, such as central heating boilers, see 43.22"
"3","25.1","Produkcja metalowych elementów konstrukcyjnych","Grupa ta obejmuje produkcję metalowych elementów konstrukcyjnych (takich jak szkielety lub części konstrukcyjne).","","","","251","This group includes the manufacture of structural metal products (such as metal frameworks or parts for construction).","",""
"4","25.11","Produkcja konstrukcji metalowych i ich części","Klasa ta obejmuje:
-    produkcję metalowych szkieletów konstrukcji dla budownictwa i ich części (wieży, masztów, kratownic, mostów itp.),
-    produkcję metalowych szkieletów konstrukcyjnych dla przemysłu (szkieletów dla pieców hutniczych, urządzeń dźwigowych i podnośnikowych itp.),
-    produkcję prefabrykowanych budynków, głównie z metalu, takich jak:
 •     baraki instalowane na miejscu budowy, modułowe elementy pawilonów wystawowych itp.","","Klasa ta nie obejmuje:
-    produkcji części dla kotłów okrętowych i energetycznych, sklasyfikowanej w 25.30,
-    produkcji gotowych elementów torów kolejowych, sklasyfikowanej w 25.99,
-    produkcji sekcji statków, sklasyfikowanej w 30.11.","","2511","This class includes:
- manufacture of metal frameworks or skeletons for construction and parts thereof (towers, masts, trusses, bridges etc.)
- manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.)
- manufacture of prefabricated buildings mainly of metal:
  • site huts, modular exhibition elements etc.","","This class excludes:
- manufacture of parts for marine or power boilers, see 25.30
- manufacture of assembled railway track fixtures, see 25.99
- manufacture of sections of ships, see 30.11"
