"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","17","Výroba papíru a výrobků z papíru","Tento oddíl zahrnuje výrobu buničiny, (papírové kaše, drti), papíru a konečných výrobků z papíru. Výroba těchto výrobků je shrnuta v jednom oddílu, protože tvoří řadu vertikálně propojených procesů. Výrobní jednotka provádí většinou více než jeden výrobní proces.

V podstatě se jedná o tři druhy činností: Výroba dřevoviny a buničiny spočívá v oddělování vláken celulózy od ostatních látek obsažených ve dřevu nebo v rozpuštění a odbarvení použitého papíru a přimíchání činidel v malých množstvích za účelem zajištění soudržnosti vláken. Při výrobě papíru se papírovina nabírá na drátěné síto a tvoří nekonečný arch. Konečné papírové výrobky se vyrábějí z papíru nebo jiného materiálu různými výrobními postupy.

Dále zahrnuje také potištěné výrobky z papíru (např. tapety, dárkový balicí papír ), pokud hlavním účelem činnosti není tisk informací.

Výroba dřevoviny a buničiny, papíru, kartonu a lepenky je zahrnuta ve skupině 17.1, ostatní třídy zahrnují výrobu další zpracování papíru a výrobků z papíru.","","","","17","This division includes the manufacture of pulp, paper and converted paper products. The manufacture of these products is grouped together because they constitute a series of vertically connected processes. More than one activity is often carried out in a single unit.

There are essentially three activities: The manufacture of pulp involves separating the cellulose fibres from other matter in wood, or dissolving and de-inking of used paper, and mixing in small amounts of reagents to reinforce the binding of the fibres. The manufacture of paper involves releasing pulp onto a moving wire mesh so as to form a continuous sheet. Converted paper products are made from paper and other materials by various techniques.

The paper articles may be printed (e.g. wallpaper, gift wrap etc.), as long as the printing of information is not the main purpose.

The production of pulp, paper and paperboard in bulk is included in group 17.1, while the remaining classes include the production of further-processed paper and paper products.","",""
"3","17.1","Výroba buničiny, papíru a lepenky","","","","","170","","",""
"4","17.11","Výroba buničiny","Z:
- výrobu bělené, částečně bělené nebo nebělené papírové vlákniny mechanickými, chemickými (rozpouštěním nebo nerozpouštěním) nebo polochemickými procesy
- výrobu buničiny z bavlněných semen (linters)
- odstraňování inkoustu / tiskařské barvy a výrobu vlákniny z starého papíru","","","","1701","This class includes:
- manufacture of bleached, semi-bleached or unbleached paper pulp by mechanical, chemical (dissolving or non-dissolving) or semi-chemical processes
- manufacture of cotton-linters pulp
- removal of ink and manufacture of pulp from waste paper","",""
"4","17.12","Výroba papíru a lepenky","Z:
- výrobu papíru a lepenky pro další průmyslové zpracování","ZT:
- další zpracování papíru a lepenky:
• potahování, natírání a impregnaci papíru a lepenky
• výrobu krepového nebo zvlněného papíru
• výrobu laminátů a folií laminovaných papírem nebo lepenkou
- výrobu ručního papíru
- výrobu novinového a jiného tiskového nebo psacího papíru
- výrobu buničité vaty a buničité tkaniny
- výrobu karbonového, průpisového a přetiskového papíru v rolích nebo širokých arších","N:
- výrobu vlnitého papíru a lepenky (17.21)
- výrobu dále zpracovaných výrobků z papíru, lepenky nebo buničiny (17.22, 17.23, 17.24, 17.29)
- výrobu natřeného nebo impregnovaného papíru, pokud nátěr nebo impregnační prostředek tvoří hlavní součást výrobku (viz třída, do které je zahrnuto potahování/natírání nebo impregnace)
- výrobu brusného papíru (23.91)","","1701","This class includes:
- manufacture of paper and paperboard intended for further industrial processing","This class also includes:
- further processing of paper and paperboard:
  • coating, covering and impregnation of paper and paperboard
  • manufacture of crêped or crinkled paper
  • manufacture of laminates and foils, if laminated with paper or paperboard
- manufacture of handmade paper
- manufacture of newsprint and other printing or writing paper
- manufacture of cellulose wadding and webs of cellulose fibres
- manufacture of carbon paper or stencil paper in rolls or large sheets","This class excludes:
- manufacture of corrugated paper and paperboard, see 17.21
- manufacture of further-processed articles of paper, paperboard or pulp, see 17.22, 17.23, 17.24, 17.29
- manufacture of coated or impregnated paper, where the coating or impregnant is the main ingredient, see class in which the manufacture of the coating or impregnant is classified
- manufacture of abrasive paper, see 23.91"
"3","17.2","Výroba výrobků z papíru a lepenky","","","","","170","","",""
"4","17.21","Výroba vlnitého papíru a lepenky, papírových a lepenkových obalů","Z:
- výrobu vlnitého papíru a lepenky
- výrobu obalů z vlnitého papíru a lepenky
- výrobu skládacích obalů z lepenky
- výrobu obalů z pevné lepenky
- výrobu jiných obalů z papíru a lepenky
- výrobu sáčků a pytlů z papíru
- výrobu kancelářských pořadačů apod. výrobků","","N:
- výrobu obálek (17.23)
- výrobu tvarovaných nebo lisovaných výrobků z papíroviny (papírové drti) (např. krabičky na balení vajec, tištěné papírové desky (tácky) (17.29)","","1702","This class includes:
- manufacture of corrugated paper and paperboard
- manufacture of containers of corrugated paper or paperboard
- manufacture of folding paperboard containers
- manufacture of containers of solid board
- manufacture of other containers of paper and paperboard
- manufacture of sacks and bags of paper
- manufacture of office box files and similar articles","","This class excludes:
- manufacture of envelopes, see 17.23
- manufacture of moulded or pressed articles of paper pulp (e.g. boxes for packing eggs, moulded pulp paper plates), see 17.29"
"4","17.22","Výroba domácích potřeb, hygienických a toaletních výrobků z papíru","Z:
- výrobu domácích a osobních hygienických potřeb z papíru i z buničité vaty:
• čistících papírů, papírových kapesníčků
• kapesníků, ručníků a ubrousků
• toaletního papíru
• hygienických vložek a tamponů, plen, plenkových vložek pro malé děti
• pohárků, talířků, tácků a podnosů
- výrobu textilní vaty a výrobků z vaty: dámských vložek, tamponů atd.","","N:
- výrobu buničité vaty (17.12)","","1709","This class includes:
- manufacture of household and personal hygiene paper and cellulose wadding products:
  • cleansing tissues
  • handkerchiefs, towels, serviettes
  • toilet paper
  • sanitary towels and tampons, napkins and napkin liners for babies
  • cups, dishes and trays
- manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc.","","This class excludes:
- manufacture of cellulose wadding, see 17.12"
"4","17.23","Výroba kancelářských potřeb z papíru","Z:
- výrobu tiskového (tiskařského) a psacího papíru pro přímé použití
- výrobu papíru pro tiskárny k počítačům pro přímé použití
- výrobu samokopírovacího papíru pro přímé použití
- výrobu rozmnožovacích (cyklostylových) blan a kopírovacího (uhlového) papíru pro přímé použití
- výrobu lepicího papíru nebo lepicí pásky pro přímé použití
- výrobu obálek a dopisních papírů
- výrobu kancelářského papírnického zboží pro vzdělávání a obchod (reklamu) (zápisníky, rychlovazače, katalogy, účetní knihy, formuláře atd.), pokud tištěná informace zde není nejdůležitější
- výrobu krabic, pytlíků, peněženek a psacích kompletů (příruček), obsahujících směs papírnického zboží","","N:
- potisk výrobků z papíru (18.1)","","1709","This class includes:
- manufacture of printing and writing paper ready for use
- manufacture of computer printout paper ready for use
- manufacture of self-copy paper ready for use
- manufacture of duplicator stencils and carbon paper ready for use
- manufacture of gummed or adhesive paper ready for use
- manufacture of envelopes and letter-cards
- manufacture of educational and commercial stationery (notebooks, binders, registers, accounting books, business forms etc.), when the printed information is not the main characteristic
- manufacture of boxes, pouches, wallets and writing compendiums containing an assortment of paper stationery","","This class excludes:
- printing on paper products, see 18.1"
"4","17.24","Výroba papírových tapet","Z:
- výrobu tapet a podobných krytin na zeď včetně tapet potahovaných vinylem a textilních tapet","","N:
- výrobu papíru nebo kartonu a lepenky velkých rozměrů (17.12)
- výrobu tapet z plastů (22.29)","","1709","This class includes:
- manufacture of wallpaper and similar wall coverings, including vinyl-coated and textile wallpaper","","This class excludes:
- manufacture of paper or paperboard in bulk, see 17.12
- manufacture of plastic wallpaper, see 22.29"
"4","17.29","Výroba ostatních výrobků z papíru a lepenky","Z:
- výrobu nálepek
- výrobu filtračních papírů a lepenky
- výrobu papírových a lepenkových cívek, vřeten a špulek atd.
- výrobu proložek pro přepravu vajec a jiných obalových výrobků z papírové vlákniny atd.
- výrobu papírových novinek
- výrobu karet z papíru nebo lepenky pro použití na žakárových strojích","","N:
- výrobu hracích karet (32.40)
- výrobu her a hraček z papíru nebo lepenky (32.40)","","1709","This class includes:
- manufacture of labels
- manufacture of filter paper and paperboard
- manufacture of paper and paperboard bobbins, spools, cops etc.
- manufacture of egg trays and other moulded pulp packaging products etc.
- manufacture of paper novelties
- manufacture of paper or paperboard cards for use on Jacquard machines","","This class excludes:
- manufacture of playing cards, see 32.40
- manufacture of games and toys of paper or paperboard, see 32.40"
"2","18","Tisk a rozmnožování nahraných nosičů","Tento oddíl zahrnuje tisk novin, knih, periodik (časopisů, magazínů), obchodních formulářů, pohlednic a jiných materiálů a s tím související činnosti, např. vazbu knih, výrobu tiskových desek a snímání dat. Související činnosti zde zahrnuté jsou nedílnou součástí polygrafického průmyslu a produkt (tisková deska, vázaná kniha, počítačový disk nebo záznam), který je nedílnou součástí tiskařského průmyslu, je téměř vždy podmíněn těmito operacemi.

Výrobní postupy používané v polygrafii zahrnují různé metody pro přenos obrazu z desek, obrazovky nebo počítačových záznamů na média jako je papír, plast, kov, textilie nebo dřevo. Nejvýznačnější z těchto metod je přenos obrazu z desek nebo štočků na médium prostřednictvím litografie, hlubotisku, sítotisku nebo flexografie. Často se také využívá počítačového záznamu pro účely přímého řízení mechanizmu tisku, elektrostatického nebo jiného zařízení pro přímé vytvoření obrazu (digitální nebo bezdotykový tisk).

Ačkoliv tisk a vydavatelství mohou být prováděny stejnou jednotkou (např. noviny), stále méně a méně případů odlišných aktivit je prováděných na (fyzicky) stejném místě.","Tento oddíl zahrnuje také rozmnožování nahraných nosičů, jako kompaktních disků, videozáznamů nebo softwaru na discích, páskách, deskách atd.","Tento oddíl nezahrnuje podnikání v nakladatelství (sekce J).","","18","This division includes printing of products, such as newspapers, books, periodicals, business forms, greeting cards, and other materials, and associated support activities, such as bookbinding, plate-making services, and data imaging. The support activities included here are an integral part of the printing industry, and a product (a printing plate, a bound book, or a computer disk or file) that is an integral part of the printing industry is almost always provided by these operations.

Processes used in printing include a variety of methods for transferring an image from a plate, screen or computer file to a medium, such as paper, plastics, metal, textile articles, or wood. The most prominent of these methods entails the transfer of the image from a plate or screen to the medium through lithographic, gravure, screen or flexographic printing. Often a computer file is used to directly ''drive'' the printing mechanism to create the image or electrostatic and other types of equipment (digital or non-impact printing).

Though printing and publishing can be carried out by the same unit (a newspaper, for example), it is less and less the case that these distinct activities are carried out in the same physical location.","This division also includes the reproduction of recorded media, such as compact discs, video recordings, software on discs or tapes, records etc.","This division excludes publishing activities (see section J)."
